v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,max_position_x,max_position_y,classification,in_gap_window,bulk_gap_used,window_status
0.4,10,10,370,-0.13916626409894825,0.13916626409894825,0.09699128740439998,0.8944253986768322,0.008583313918767325,0,5,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,371,-0.13916626409894825,0.13916626409894825,0.0969912874043983,0.8944253986768349,0.008583313918767321,9,5,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,372,-0.13885282943558847,0.13885282943558847,0.06635672152101771,0.9242953980808174,0.009347880398164756,5,0,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,373,-0.13885282943558822,0.13885282943558822,0.06635672152101893,0.9242953980808164,0.009347880398164804,5,9,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,374,-0.1384444443139421,0.1384444443139421,0.06449133909210897,0.9252099981876325,0.0102986627202587,0,5,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,375,-0.13844444431394204,0.13844444431394204,0.06449133909210678,0.9252099981876356,0.010298662720258972,4,9,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,376,-0.12729657586003731,0.12729657586003731,0.30256753043746176,0.6900193112874333,0.007413158275105066,7,0,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,377,-0.12729657586003715,0.12729657586003715,0.30256753043746565,0.6900193112874293,0.007413158275105087,0,2,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,378,-0.12682417376791955,0.12682417376791955,0.2731384539080749,0.714534299826883,0.012327246265041319,2,9,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,379,-0.12682417376791869,0.12682417376791869,0.2731384539080734,0.7145342998268844,0.012327246265041456,9,7,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,380,-0.12479408384875253,0.12479408384875253,0.24237232864343738,0.7501045880601822,0.007523083296382244,0,2,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,381,-0.12479408384875232,0.12479408384875232,0.24237232864343794,0.75010458806018,0.007523083296382174,2,9,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,382,-0.12393664776335338,0.12393664776335338,0.18795838000193293,0.8023752987989056,0.009666321199161557,0,2,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,383,-0.1239366477633532,0.1239366477633532,0.1879583800019341,0.802375298798905,0.009666321199161589,9,2,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,384,-0.10802623222428447,0.10802623222428447,0.4516171344864691,0.5393521733419808,0.009030692171550858,1,9,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,385,-0.10802623222428445,0.10802623222428445,0.45161713448647023,0.5393521733419793,0.009030692171550935,8,0,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,386,-0.10580218014332586,0.10580218014332586,0.40645938245359353,0.5872435616753845,0.006297055871019877,0,1,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,387,-0.10580218014332582,0.10580218014332582,0.4064593824535961,0.5872435616753844,0.006297055871019859,8,9,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,388,-0.10220080074394361,0.10220080074394361,0.3455873034714761,0.6421548342190844,0.01225786230944027,9,1,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,389,-0.10220080074394351,0.10220080074394351,0.3455873034714748,0.6421548342190843,0.012257862309440124,1,0,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,390,-0.10081596248910417,0.10081596248910417,0.3421571292119255,0.65055152266847,0.007291348119604496,2,9,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,391,-0.10081596248910392,0.10081596248910392,0.34215712921191965,0.6505515226684766,0.007291348119604506,0,2,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,392,-0.08080601011376942,0.08080601011376942,0.45590321121223193,0.5349213531695018,0.009175435618267013,8,9,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,393,-0.080806010113769,0.080806010113769,0.4559032112122253,0.5349213531695067,0.009175435618266973,1,9,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,394,-0.07495910749114397,0.07495910749114397,0.4122891053442575,0.5817902116104017,0.005920683045342057,8,0,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,395,-0.07495910749114396,0.07495910749114396,0.4122891053442553,0.5817902116104019,0.005920683045342048,1,0,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,396,-0.07313431580023082,0.07313431580023082,0.41496784469538694,0.5653728595325596,0.019659295772054382,0,8,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,397,-0.07313431580023076,0.07313431580023076,0.4149678446953854,0.56537285953256,0.019659295772054393,9,8,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,398,-0.06749516150035588,0.06749516150035588,0.3907463505768006,0.5997962564722439,0.009457392950954541,9,1,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,399,-0.06749516150035499,0.06749516150035499,0.39074635057679924,0.5997962564722457,0.009457392950954316,0,1,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,400,-0.0434219446560071,0.0434219446560071,0.3718280345166317,0.6177405136840126,0.01043145179935584,9,8,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,401,-0.04342194465600681,0.04342194465600681,0.3718280345166295,0.6177405136840144,0.010431451799355796,9,1,edge_state,0.15999999999999975,0.39999999999999936,ok
