v,t,w,lm,E_valence_M,E_conduction_M,Delta_M,m_M,2abs_m_M
0.6620000000000001,0.3,1.0,0.0,0.2620000000000002,0.3380000000000001,0.0759999999999999,-0.03799999999999981,0.07599999999999962
0.6630000000000001,0.3,1.0,0.0,0.2629999999999999,0.33699999999999997,0.07400000000000007,-0.03699999999999992,0.07399999999999984
0.6640000000000001,0.3,1.0,0.0,0.26400000000000035,0.33600000000000024,0.0719999999999999,-0.03599999999999981,0.07199999999999962
0.6650000000000001,0.3,1.0,0.0,0.2650000000000003,0.33499999999999985,0.06999999999999956,-0.03499999999999992,0.06999999999999984
0.6660000000000001,0.3,1.0,0.0,0.2660000000000001,0.3339999999999997,0.06799999999999956,-0.03399999999999981,0.06799999999999962
0.6670000000000001,0.3,1.0,0.0,0.26699999999999996,0.3329999999999997,0.06599999999999973,-0.03299999999999992,0.06599999999999984
0.6680000000000001,0.3,1.0,0.0,0.2680000000000001,0.3319999999999999,0.06399999999999978,-0.031999999999999806,0.06399999999999961
0.6690000000000002,0.3,1.0,0.0,0.2689999999999999,0.33099999999999985,0.061999999999999944,-0.030999999999999917,0.06199999999999983
0.6700000000000002,0.3,1.0,0.0,0.27,0.32999999999999996,0.05999999999999994,-0.029999999999999805,0.05999999999999961
0.6710000000000002,0.3,1.0,0.0,0.271,0.3289999999999998,0.057999999999999774,-0.028999999999999915,0.05799999999999983
0.6720000000000002,0.3,1.0,0.0,0.2720000000000002,0.32799999999999974,0.05599999999999955,-0.027999999999999803,0.055999999999999606
0.6730000000000002,0.3,1.0,0.0,0.27299999999999985,0.3269999999999999,0.05400000000000005,-0.026999999999999913,0.053999999999999826
0.6740000000000002,0.3,1.0,0.0,0.2740000000000002,0.3260000000000001,0.051999999999999935,-0.0259999999999998,0.0519999999999996
0.6750000000000002,0.3,1.0,0.0,0.2750000000000002,0.3249999999999998,0.0499999999999996,-0.02499999999999991,0.04999999999999982
0.6760000000000002,0.3,1.0,0.0,0.27600000000000036,0.32399999999999984,0.04799999999999949,-0.0239999999999998,0.0479999999999996
0.6770000000000002,0.3,1.0,0.0,0.2770000000000002,0.32299999999999984,0.04599999999999965,-0.02299999999999991,0.04599999999999982
0.6780000000000002,0.3,1.0,0.0,0.27800000000000025,0.32199999999999973,0.043999999999999484,-0.021999999999999797,0.043999999999999595
0.6790000000000002,0.3,1.0,0.0,0.2790000000000002,0.32099999999999995,0.04199999999999976,-0.020999999999999908,0.041999999999999815
0.6800000000000002,0.3,1.0,0.0,0.2800000000000001,0.3200000000000002,0.04000000000000009,-0.019999999999999796,0.03999999999999959
0.6810000000000002,0.3,1.0,0.0,0.2810000000000002,0.31899999999999984,0.037999999999999645,-0.018999999999999906,0.03799999999999981
0.6820000000000002,0.3,1.0,0.0,0.2820000000000003,0.31799999999999995,0.03599999999999964,-0.017999999999999794,0.03599999999999959
0.6830000000000002,0.3,1.0,0.0,0.2830000000000001,0.3169999999999999,0.03399999999999981,-0.016999999999999904,0.03399999999999981
0.6840000000000002,0.3,1.0,0.0,0.284,0.31600000000000006,0.032000000000000084,-0.015999999999999792,0.031999999999999584
0.6850000000000002,0.3,1.0,0.0,0.2850000000000001,0.31500000000000006,0.02999999999999997,-0.014999999999999902,0.029999999999999805
0.6860000000000002,0.3,1.0,0.0,0.28600000000000025,0.31399999999999967,0.027999999999999414,-0.01399999999999979,0.02799999999999958
0.6870000000000002,0.3,1.0,0.0,0.28700000000000014,0.3129999999999995,0.025999999999999357,-0.0129999999999999,0.0259999999999998
