point_id,v,t,lm,gap,chern,z2,edge_state,corner_state,Wilson_loop,category
v_0p20_t_0p20_lm_0p00,0.2,0.2,0.0,1.1999999999999988,1.9644181671336616e-16,1,0,0,-1.2712896320106433,robust_nontrivial
v_0p20_t_0p20_lm_0p20,0.2,0.2,0.2,0.7999999999999988,-9.307244565458262e-17,1,0,0,-0.5901698625541235,robust_nontrivial
v_0p20_t_0p20_lm_0p40,0.2,0.2,0.4,0.39999999999999947,5.888614573691191e-16,1,0,0,-1.0111392659702572,robust_nontrivial
v_0p20_t_0p20_lm_0p50,0.2,0.2,0.5,-1.1934897514720433e-15,1.503266496848179e-16,0,1,0,-0.04374386577615492,near_transition
v_0p20_t_0p30_lm_0p20,0.2,0.3,0.2,0.5999999999999989,-3.7455928535777625e-17,1,0,0,0.5977626626261544,robust_nontrivial
v_0p20_t_0p30_lm_0p40,0.2,0.3,0.4,0.19999999999999962,-7.862848845382818e-17,1,0,0,1.0020404148048687,robust_nontrivial
v_0p20_t_0p30_lm_0p50,0.2,0.3,0.5,-1.2212453270876722e-15,-1.1854398577536243e-16,0,1,0,-0.025913234890651355,near_transition
v_0p20_t_0p40_lm_0p40,0.2,0.4,0.4,1.7879020248953197e-16,-1.0191875958024517e-16,0,1,0,0.27180024055472973,near_transition
v_0p20_t_0p40_lm_0p50,0.2,0.4,0.5,0.1999999999999985,1.923125056616172e-16,1,0,0,2.653512746789707,robust_nontrivial
v_0p20_t_0p40_lm_0p60,0.2,0.4,0.6,-1.3941279305901484e-15,-3.311711815360479e-16,1,1,0,-1.434479619072674,near_transition
v_0p20_t_0p50_lm_0p00,0.2,0.5,0.0,-4.996003610813204e-16,2.814917474833881e-16,0,1,0,-2.0719733004916274,near_transition
v_0p20_t_0p50_lm_0p10,0.2,0.5,0.1,-4.996003610813204e-16,6.513743903387046e-18,1,1,0,-1.0214746736652924,near_transition
v_0p20_t_0p50_lm_0p20,0.2,0.5,0.2,-4.718447854656915e-16,7.837519214042076e-17,0,1,0,-0.08001666204830446,near_transition
v_0p20_t_0p50_lm_0p30,0.2,0.5,0.3,-8.326672684688674e-16,-1.9110579888002146e-17,0,1,0,2.103637216979856,near_transition
v_0p20_t_0p50_lm_0p60,0.2,0.5,0.6,0.19999999999999793,1.8917906161164186e-16,1,0,0,-0.8789955067812236,robust_nontrivial
v_0p20_t_0p50_lm_0p70,0.2,0.5,0.7,-5.273559366969494e-16,2.473764752249402e-16,0,1,0,-0.10293646049304195,near_transition
v_0p20_t_0p50_lm_0p80,0.2,0.5,0.8,-1.1657341758564144e-15,9.521202239160778e-17,1,1,0,1.0298035121025204,near_transition
v_0p20_t_0p50_lm_0p90,0.2,0.5,0.9,-1.304512053934559e-15,-1.0665635310540692e-16,1,1,0,-1.3409778416221387,near_transition
v_0p20_t_0p50_lm_1p00,0.2,0.5,1.0,-9.71445146547012e-16,2.133683420304442e-16,1,1,0,0.8411793040309925,near_transition
v_0p20_t_0p60_lm_0p40,0.2,0.6,0.4,-2.7925872527599646e-16,9.030974024601175e-17,0,1,0,0.4556746369933964,near_transition
v_0p20_t_0p60_lm_0p50,0.2,0.6,0.5,0.19999999999999835,1.5510840737002578e-16,1,0,0,-0.7368594302862234,robust_nontrivial
v_0p20_t_0p60_lm_0p60,0.2,0.6,0.6,-1.0501627391564889e-16,1.5902773407317583e-16,1,1,0,0.7999487103462322,near_transition
v_0p20_t_0p60_lm_1p00,0.2,0.6,1.0,0.39999999999999786,1.4847880170136103e-16,1,0,0,0.8914380729157274,robust_nontrivial
v_0p20_t_0p70_lm_0p50,0.2,0.7,0.5,-7.771561172376096e-16,7.067899292141149e-17,0,1,0,0.14553061139645854,near_transition
v_0p20_t_0p70_lm_0p60,0.2,0.7,0.6,0.19999999999999807,-1.3927577184720258e-16,1,0,0,1.3152007604423168,robust_nontrivial
v_0p20_t_0p70_lm_0p70,0.2,0.7,0.7,0.399999999999997,-1.70686843062004e-16,1,0,0,-1.0492227658475377,robust_nontrivial
v_0p20_t_0p70_lm_0p90,0.2,0.7,0.9,0.7999999999999972,-2.81824645540182e-16,1,0,0,0.585497041155143,robust_nontrivial
v_0p20_t_0p70_lm_1p00,0.2,0.7,1.0,0.7999999999999987,7.30635322246281e-18,1,0,0,-0.7789172747660329,robust_nontrivial
v_0p20_t_0p80_lm_0p50,0.2,0.8,0.5,-8.326672684688674e-16,7.700518266882763e-17,0,1,0,0.07921919262997786,near_transition
v_0p20_t_0p80_lm_0p70,0.2,0.8,0.7,0.5999999999999988,3.5032984671361567e-16,1,0,0,1.43858796904536,robust_nontrivial
v_0p20_t_0p80_lm_0p80,0.2,0.8,0.8,0.799999999999999,1.3298122986846732e-16,1,0,0,0.9784463893077521,robust_nontrivial
v_0p20_t_0p80_lm_0p90,0.2,0.8,0.9,0.9999999999999984,1.7652688223396632e-16,1,0,0,0.7863282585385503,robust_nontrivial
v_0p20_t_0p90_lm_0p50,0.2,0.9,0.5,-8.881784197001252e-16,2.356118742017696e-16,0,1,0,-1.9611828752873883,near_transition
v_0p20_t_0p90_lm_0p60,0.2,0.9,0.6,0.39999999999999786,7.77302672843143e-17,1,0,0,0.7022265957227087,robust_nontrivial
v_0p20_t_0p90_lm_0p70,0.2,0.9,0.7,0.7999999999999984,2.2025639487004277e-16,1,0,0,0.5594991316329246,robust_nontrivial
v_0p20_t_0p90_lm_0p80,0.2,0.9,0.8,0.9999999999999984,2.410857390153918e-16,1,0,0,1.1693708117846606,robust_nontrivial
v_0p20_t_0p90_lm_0p90,0.2,0.9,0.9,1.1999999999999984,-7.732693349918353e-17,1,0,0,-1.4203871048630303,robust_nontrivial
v_0p20_t_0p90_lm_1p00,0.2,0.9,1.0,1.3999999999999992,6.327360685592452e-18,1,0,0,0.5379483967113142,robust_nontrivial
v_0p20_t_1p00_lm_0p50,0.2,1.0,0.5,-1.1379786002407855e-15,-1.7824761434840037e-16,0,1,0,-2.2004981622269173,near_transition
