v,t,w,lm,direct_gap,indirect_gap,kx_min,ky_min,chern_total,z2,z2_reliable,phase_label,comment,z2_wilson,z2_fu_kane,wilson_winding_kx,wilson_winding_ky,fu_kane_quality,k_u_min,k_v_min
0.13,0.3,1.0,0.1,0.9399999999999997,0.7999999999999992,3.141592653589793,3.141592653589793,2.398047044775804e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,0.8886998259849895,-0.6095609545193665,1.5543122344752192e-15,0.5,0.5
0.14,0.3,1.0,0.1,0.9199999999999998,0.7999999999999982,3.141592653589793,3.141592653589793,-2.531650249143466e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.4900497001554127,-2.9229742781597072,1.1102230246251565e-15,0.5,0.5
0.15,0.3,1.0,0.1,0.8999999999999996,0.7999999999999992,3.141592653589793,3.141592653589793,-2.0048252947626346e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,3.5402268281168014,4.097677058389861,1.3322676295501878e-15,0.5,0.5
0.16,0.3,1.0,0.1,0.8799999999999996,0.7999999999999994,3.141592653589793,3.141592653589793,-3.5802382130278436e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.9763410983702269,2.4899004593360523,1.3322676295501878e-15,0.5,0.5
0.17,0.3,1.0,0.1,0.859999999999999,0.7999999999999987,3.141592653589793,3.141592653589793,-2.0501690928078722e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,-1.9132437243790357,1.7904899914657102,1.5543122344752192e-15,0.5,0.5
0.18,0.3,1.0,0.1,0.8399999999999999,0.7999999999999992,3.141592653589793,3.141592653589793,-1.8369940375200823e-17,0,1,trivial_insulator,z2 source=fu_kane,0,0,-0.25691007779471875,-0.08586681256067022,1.9984014443252818e-15,0.5,0.5
0.19,0.3,1.0,0.1,0.8199999999999992,0.7999999999999998,3.141592653589793,3.141592653589793,-3.3920585359637013e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.18958790512982923,1.184322206154811,1.5543122344752192e-15,0.5,0.5
0.2,0.3,1.0,0.1,0.7999999999999999,0.7999999999999998,3.141592653589793,3.141592653589793,-4.244896323747842e-17,0,1,trivial_insulator,z2 source=fu_kane,0,0,0.4278884131769253,-0.38715203458100167,1.6653345369377348e-15,0.5,0.5
0.21,0.3,1.0,0.1,0.7800000000000001,0.7800000000000001,3.141592653589793,3.141592653589793,6.545147707249288e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-3.448265084395536,-0.9994324982486851,2.886579864025407e-15,0.5,0.5
0.22,0.3,1.0,0.1,0.7599999999999996,0.7599999999999996,3.141592653589793,3.141592653589793,8.877353325069415e-17,0,1,trivial_insulator,z2 source=fu_kane,0,0,0.4554345159941631,2.016329398854373,1.7763568394002505e-15,0.5,0.5
0.23,0.3,1.0,0.1,0.7400000000000001,0.7400000000000001,3.141592653589793,3.141592653589793,3.214379024311191e-17,0,1,trivial_insulator,z2 source=fu_kane,1,0,-1.0186314843037274,-0.5975595298265187,1.3322676295501878e-15,0.5,0.5
0.24,0.3,1.0,0.1,0.7200000000000002,0.7200000000000002,3.141592653589793,3.141592653589793,2.733655403944802e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,0.0627613920688594,-0.6135457447533342,1.9984014443252818e-15,0.5,0.5
0.25,0.3,1.0,0.1,0.6999999999999993,0.6999999999999993,3.141592653589793,3.141592653589793,7.451264371742826e-17,0,1,trivial_insulator,z2 source=fu_kane,0,0,-1.7262089711257962,-0.13187444517496555,1.5543122344752192e-15,0.5,0.5
0.26,0.3,1.0,0.1,0.6799999999999994,0.6799999999999994,3.141592653589793,3.141592653589793,1.505844234431303e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,1.540046137871339,-1.1926138407266547,1.4432899320127035e-15,0.5,0.5
0.27,0.3,1.0,0.1,0.6599999999999995,0.6599999999999995,3.141592653589793,3.141592653589793,-6.820912346148603e-17,0,1,trivial_insulator,z2 source=fu_kane,1,0,-1.3002738338805528,-0.7458651485500313,1.1102230246251565e-15,0.5,0.5
0.28,0.3,1.0,0.1,0.6399999999999996,0.6399999999999996,3.141592653589793,3.141592653589793,-5.022607574840699e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-1.0844669445498332,-1.113383706111275,1.3322676295501878e-15,0.5,0.5
0.29,0.3,1.0,0.1,0.6199999999999998,0.6199999999999998,3.141592653589793,3.141592653589793,-1.9996192280224828e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,3.2176324660668385,0.18775789339941845,2.3314683517128287e-15,0.5,0.5
0.3,0.3,1.0,0.1,0.5999999999999999,0.5999999999999999,3.141592653589793,3.141592653589793,3.036716780667245e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.7866942549930254,-0.20778099132326083,1.1102230246251565e-15,0.5,0.5
0.31,0.3,1.0,0.1,0.5799999999999998,0.5799999999999998,3.141592653589793,3.141592653589793,-4.058748809791819e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,0.38332305759247726,-1.3757617569602592,2.886579864025407e-15,0.5,0.5
0.32,0.3,1.0,0.1,0.5599999999999997,0.5599999999999997,3.141592653589793,3.141592653589793,2.8647811018903515e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.24081669140594925,0.5064276875806235,2.9976021664879227e-15,0.5,0.5
0.33,0.3,1.0,0.1,0.5399999999999997,0.5399999999999997,3.141592653589793,3.141592653589793,4.143245666146837e-18,0,1,trivial_insulator,z2 source=fu_kane,-1,0,0.37752544176575464,1.369618374490964,1.3322676295501878e-15,0.5,0.5
0.34,0.3,1.0,0.1,0.5199999999999996,0.5199999999999996,3.141592653589793,3.141592653589793,1.249475896714503e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-1.3694165827501965,-3.0210661555104106,1.6653345369377348e-15,0.5,0.5
0.35,0.3,1.0,0.1,0.5000000000000001,0.5000000000000001,3.141592653589793,3.141592653589793,-2.3534763759578605e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,-5.547917019126303,0.19804883297926887,1.5543122344752192e-15,0.5,0.5
0.36,0.3,1.0,0.1,0.4799999999999998,0.4799999999999998,3.141592653589793,3.141592653589793,-2.1697919883262034e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-3.3634011773962906,1.5300663192549018,1.5543122344752192e-15,0.5,0.5
0.37,0.3,1.0,0.1,0.45999999999999974,0.45999999999999974,3.141592653589793,3.141592653589793,2.0430430418051926e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,1.2466201426771475,-1.3302796989209094,1.2212453270876722e-15,0.5,0.5
0.38,0.3,1.0,0.1,0.43999999999999934,0.43999999999999934,3.141592653589793,3.141592653589793,-1.817900449533121e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,-1.6150184868792246,0.14784047024150898,1.1102230246251565e-15,0.5,0.5
0.39,0.3,1.0,0.1,0.41999999999999993,0.41999999999999993,3.141592653589793,3.141592653589793,-5.813312875497424e-17,0,1,trivial_insulator,z2 source=fu_kane,0,0,-0.05301760154630695,0.04708601954841627,1.5543122344752192e-15,0.5,0.5
0.4,0.3,1.0,0.1,0.3999999999999997,0.3999999999999997,3.141592653589793,3.141592653589793,-1.3600274143123593e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.5904176866955825,-1.5249094591131644,1.2212453270876722e-15,0.5,0.5
0.41,0.3,1.0,0.1,0.38000000000000006,0.38000000000000006,3.141592653589793,3.141592653589793,6.21333432025676e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,0.8961404470168103,0.5926649224883186,1.1102230246251565e-15,0.5,0.5
0.42,0.3,1.0,0.1,0.36000000000000004,0.36000000000000004,3.141592653589793,3.141592653589793,-1.855195476511697e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.8694923877570383,-2.2954076960742564,1.7763568394002505e-15,0.5,0.5
0.43,0.3,1.0,0.1,0.33999999999999986,0.33999999999999986,3.141592653589793,3.141592653589793,-2.9720730514463123e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,2.413596103721427,-1.4591295482265956,1.7763568394002505e-15,0.5,0.5
0.44,0.3,1.0,0.1,0.3199999999999999,0.3199999999999999,3.141592653589793,3.141592653589793,6.315876103805971e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,-0.31378253401145706,-5.591680257505883,1.5543122344752192e-15,0.5,0.5
0.45,0.3,1.0,0.1,0.29999999999999993,0.29999999999999993,3.141592653589793,3.141592653589793,6.566376172953565e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,1.3535390123114275,0.9927056223753674,1.1102230246251565e-15,0.5,0.5
