v,alpha,state_index,energy
0.5,0.25,99,1.8072262839466364
0.5,0.5,0,-1.590750285414208
0.5,0.5,1,-1.5383784217364773
0.5,0.5,2,-1.5146553600086476
0.5,0.5,3,-1.4925093116949386
0.5,0.5,4,-1.485988118943634
0.5,0.5,5,-1.4717096124121527
0.5,0.5,6,-1.466491496713041
0.5,0.5,7,-1.46369429167225
0.5,0.5,8,-1.4627150223341634
0.5,0.5,9,-1.4108706465310505
0.5,0.5,10,-1.382605568795948
0.5,0.5,11,-1.3387745216892823
0.5,0.5,12,-1.3301700193165744
0.5,0.5,13,-1.328260107343005
0.5,0.5,14,-1.3280948552167022
0.5,0.5,15,-1.3020047700918729
0.5,0.5,16,-1.2882087821845016
0.5,0.5,17,-1.2235221586565956
0.5,0.5,18,-1.194228946367478
0.5,0.5,19,-1.1942243188767625
0.5,0.5,20,-1.1711256014501585
0.5,0.5,21,-1.1688796714976233
0.5,0.5,22,-1.139491416978994
0.5,0.5,23,-1.1107924476245858
0.5,0.5,24,-1.0357417700845906
0.5,0.5,25,-1.0266273212370158
0.5,0.5,26,-1.0198519480173853
0.5,0.5,27,-1.010096305724324
0.5,0.5,28,-1.0076031885235635
0.5,0.5,29,-0.9505411986388957
0.5,0.5,30,-0.9136966391805219
0.5,0.5,31,-0.8137718088002084
0.5,0.5,32,-0.7848941176304989
0.5,0.5,33,-0.7778236027585432
0.5,0.5,34,-0.7683184049456951
0.5,0.5,35,-0.735515219894205
0.5,0.5,36,-0.7327997321403792
0.5,0.5,37,-0.6884414640365647
0.5,0.5,38,-0.6384886346663978
0.5,0.5,39,-0.49201499906496327
0.5,0.5,40,-0.3003282351070085
0.5,0.5,41,-0.29984850461091295
0.5,0.5,42,-0.1500025686157558
0.5,0.5,43,-0.14999709932934252
0.5,0.5,44,-0.06630025805797873
0.5,0.5,45,-0.06485400884494708
0.5,0.5,46,-0.056500798541367386
0.5,0.5,47,-0.052480598554738175
0.5,0.5,48,-0.04273013283640867
0.5,0.5,49,-0.04108751894697865
0.5,0.5,50,-0.03733909002891521
0.5,0.5,51,-0.030871547736044273
0.5,0.5,52,-0.026806601267239792
0.5,0.5,53,0.003894608272150314
0.5,0.5,54,0.010288371249913551
0.5,0.5,55,0.013268251440718339
0.5,0.5,56,0.09772043712939243
0.5,0.5,57,0.1235169941527567
0.5,0.5,58,0.2783583654862294
0.5,0.5,59,0.3467394437387394
0.5,0.5,60,0.5834362633984468
0.5,0.5,61,0.584913360751192
0.5,0.5,62,0.6268248048212908
0.5,0.5,63,0.6313106231670673
0.5,0.5,64,0.6341717933389505
0.5,0.5,65,0.6350954434411111
0.5,0.5,66,0.6505832810702795
0.5,0.5,67,0.7578108528804156
0.5,0.5,68,0.7601153584753385
0.5,0.5,69,0.7877805945756241
0.5,0.5,70,0.8217419260806438
0.5,0.5,71,0.8229235637936653
0.5,0.5,72,0.8246643542621899
0.5,0.5,73,0.8607614971849101
0.5,0.5,74,0.9078588019430963
0.5,0.5,75,0.934243173841865
0.5,0.5,76,0.9441992808545517
0.5,0.5,77,0.9561921983644962
0.5,0.5,78,1.0121714623329616
0.5,0.5,79,1.1300669644881125
0.5,0.5,80,1.1348499643976542
