v,alpha,state_index,rank_by_absE,energy,abs_energy,W_corner,W_edge,W_bulk,IPR
0.5,0.75,48,7,-0.07014376463455196,0.07014376463455196,0.02864238845902616,0.8012748975725562,0.17008271396841762,0.06079177780837548
0.5,1.0,54,0,0.016475724407005773,0.016475724407005773,0.38068046421161505,0.5089449375574281,0.11037459823095772,0.06489345389504118
0.5,1.0,55,1,0.016475724407006783,0.016475724407006783,0.10432810005623358,0.6662707913823724,0.2294011085613955,0.055901701758620186
0.5,1.0,53,2,-0.018250525318511103,0.018250525318511103,0.23458173644536823,0.6015268239950133,0.16389143955961877,0.06268016509858465
0.5,1.0,52,3,-0.018250525318511394,0.018250525318511394,0.23458173644536878,0.6015268239950133,0.1638914395596189,0.06268016509858539
0.5,1.0,51,4,-0.0668609688300603,0.0668609688300603,0.13973173421209711,0.7109554858914718,0.1493127798964309,0.09211188306975923
0.5,1.0,50,5,-0.06686096883006099,0.06686096883006099,0.13973173421209484,0.7109554858914743,0.14931277989643182,0.0921118830697594
0.5,1.0,49,6,-0.08645976074693922,0.08645976074693922,0.08329053333052557,0.7617272627798558,0.1549822038896188,0.09843244862853327
0.5,1.0,48,7,-0.08645976074693985,0.08645976074693985,0.1843384793775067,0.6765492659319875,0.13911225469050623,0.09215208212264946
0.6,0.0,50,0,8.393943634327854e-05,8.393943634327854e-05,0.8169503246875955,0.17243846508889998,0.01061121022350417,0.3399630595721905
0.6,0.0,49,1,-8.393943634332747e-05,8.393943634332747e-05,0.8169503246875964,0.17243846508889987,0.010611210223504138,0.3399630595721911
0.6,0.0,48,2,-0.002364070244615632,0.002364070244615632,0.4440303531599642,0.5341623194402882,0.021807327399746813,0.13245487291009336
0.6,0.0,51,3,0.0023640702446158872,0.0023640702446158872,0.4440303531599658,0.5341623194402889,0.02180732739974579,0.13245487291009428
0.6,0.0,52,4,0.022740542771716735,0.022740542771716735,0.19080268818897572,0.5546744893261853,0.25452282248483954,0.05365775019899755
0.6,0.0,47,5,-0.022740542771717255,0.022740542771717255,0.190802688188978,0.5546744893261828,0.2545228224848396,0.05365775019899694
