point_id,v,t,lm,w,status,chern,z2,wilson,topology_status
v_1p90_t_0p50_lm_0p00,1.9,0.5,0.0,0.10000000000000009,ok,2.5881336988175605e-16,0,-1.5422322900346006,ok
v_1p90_t_0p50_lm_0p10,1.9,0.5,0.1,0.10000000000000009,ok,-2.651219881779624e-16,0,-2.1105201324149525,ok
v_1p90_t_0p50_lm_0p20,1.9,0.5,0.2,0.10000000000000009,ok,-8.371419608968088e-17,1,-0.587875176833691,ok
v_1p90_t_0p50_lm_0p30,1.9,0.5,0.3,0.10000000000000009,ok,2.6496842470147303e-16,0,0.48122745628085717,ok
v_1p90_t_0p50_lm_0p40,1.9,0.5,0.4,0.10000000000000009,ok,1.2315761470562253e-16,0,-0.2845693257651557,ok
v_1p90_t_0p50_lm_0p50,1.9,0.5,0.5,0.10000000000000009,ok,5.715805062646694e-17,0,-1.4135798584282297e-16,ok
v_2p00_t_0p50_lm_0p00,2.0,0.5,0.0,0.0,ok,0.0,0,0.0,ok
v_2p00_t_0p50_lm_0p10,2.0,0.5,0.1,0.0,ok,0.0,0,0.0,ok
v_2p00_t_0p50_lm_0p20,2.0,0.5,0.2,0.0,ok,0.0,0,0.0,ok
v_2p00_t_0p50_lm_0p30,2.0,0.5,0.3,0.0,ok,0.0,0,0.0,ok
v_2p00_t_0p50_lm_0p40,2.0,0.5,0.4,0.0,ok,0.0,0,0.0,ok
v_2p00_t_0p50_lm_0p50,2.0,0.5,0.5,0.0,ok,0.0,0,0.0,ok
