point_id,v,t,lm,w,band_lower_edge,band_upper_edge,band_window_width,classification,has_edge_state,has_isolated_state,has_connecting_edge_branch,in_window_edge_state_count,ky_coverage,touches_lower,touches_upper,span_ratio,reason
v_0p60_t_0p50_lm_0p30,0.6,0.5,0.3,1.4,0.19999999999999968,0.19999999999999996,2.7755575615628914e-16,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_0p60_t_0p50_lm_0p40,0.6,0.5,0.4,1.4,-2.642102769462183e-16,0.19999999999999993,0.2000000000000002,isolated_midgap_state,1,1,0,56,0.23140495867768596,1,1,0.8710028247280597,edge_states_exist_but_not_connecting_band4_and_band5
v_0p60_t_0p50_lm_0p50,0.6,0.5,0.5,1.4,-0.1999999999999996,0.19999999999999976,0.39999999999999936,isolated_midgap_state,1,1,0,108,0.2231404958677686,1,1,0.9600113334609285,edge_states_exist_but_not_connecting_band4_and_band5
v_0p70_t_0p50_lm_0p00,0.7,0.5,0.0,1.3,0.3999999999999997,0.5999999999999994,0.19999999999999973,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_0p70_t_0p50_lm_0p10,0.7,0.5,0.1,1.3,0.3999999999999999,0.40000000000000024,3.3306690738754696e-16,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_0p70_t_0p50_lm_0p20,0.7,0.5,0.2,1.3,0.2,0.39999999999999974,0.19999999999999973,isolated_midgap_state,1,1,0,40,0.1652892561983471,1,1,0.8872124061371477,edge_states_exist_but_not_connecting_band4_and_band5
v_0p70_t_0p50_lm_0p30,0.7,0.5,0.3,1.3,1.727491952499268e-16,0.39999999999999947,0.3999999999999993,connecting_edge_branch,1,0,1,112,0.4628099173553719,1,1,0.9788414886943769,touches_both_band_edges_with_large_span
v_0p70_t_0p50_lm_0p40,0.7,0.5,0.4,1.3,-0.19999999999999896,0.3999999999999991,0.5999999999999981,connecting_edge_branch,1,0,1,188,0.5867768595041323,1,1,0.9898874459495055,touches_both_band_edges_with_large_span
v_0p70_t_0p50_lm_0p50,0.7,0.5,0.5,1.3,-0.3999999999999988,0.3999999999999996,0.7999999999999984,connecting_edge_branch,1,0,1,220,0.45454545454545453,1,1,0.9684223912152957,touches_both_band_edges_with_large_span
v_0p80_t_0p50_lm_0p00,0.8,0.5,0.0,1.2,0.39999999999999997,0.4,5.551115123125783e-17,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
