v,lm,t,w,Delta_global,kx_min,ky_min,distance_to_M
1.087,0.1,0.3,1.0,0.011994281687615876,0.0,3.141592653589793,3.141592653589793
1.088,0.1,0.3,1.0,0.00999428168761475,0.0,3.141592653589793,3.141592653589793
1.089,0.1,0.3,1.0,0.007994281687615998,6.283185307179586,3.141592653589793,3.141592653589793
1.09,0.1,0.3,1.0,0.005994281687616551,6.283185307179586,3.141592653589793,3.141592653589793
1.091,0.1,0.3,1.0,0.003994281687615828,0.0,3.141592653589793,3.141592653589793
1.092,0.1,0.3,1.0,0.0019942816876151043,6.283185307179586,3.141592653589793,3.141592653589793
1.093,0.1,0.3,1.0,5.718312382260726e-06,6.283185307179586,3.141592653589793,3.141592653589793
1.094,0.1,0.3,1.0,0.002005718312382873,3.141592653589793,6.283185307179586,3.141592653589793
1.095,0.1,0.3,1.0,0.004005718312380557,6.283185307179586,3.141592653589793,3.141592653589793
1.096,0.1,0.3,1.0,0.006005718312382308,6.283185307179586,3.141592653589793,3.141592653589793
1.097,0.1,0.3,1.0,0.008005718312381963,6.283185307179586,3.141592653589793,3.141592653589793
1.098,0.1,0.3,1.0,0.010005718312382311,0.0,3.141592653589793,3.141592653589793
1.099,0.1,0.3,1.0,0.012005718312381897,0.0,3.141592653589793,3.141592653589793
1.1,0.1,0.3,1.0,0.014005718312381399,6.283185307179586,3.141592653589793,3.141592653589793
