v,t,z2_flips,max_chern_jump,min_abs_gap,has_edge,has_corner,z2_pattern
0.4,0.2,5,5.1472518687149535e-16,1.1102230246251565e-16,1,0,1-1-1-1-0-0-1-1-0-1-0
0.4,0.4,5,4.017078827027699e-16,1.1102230246251565e-16,1,0,1-1-0-0-1-1-0-1-0-0-0
0.3,0.6,5,1.0,1.249000902703301e-16,1,1,0-0-1-1-1-0-0-1-1-0-1
0.7,0.9,5,4.506073119046955e-16,1.3877787807814457e-16,1,0,1-0-0-0-1-1-0-1-0-0-0
0.3,0.4,5,4.192181004006234e-16,1.6653345369377348e-16,1,0,1-0-1-1-1-1-0-1-0-0-0
0.4,0.9,5,3.3257152942762966e-16,1.6653345369377348e-16,1,0,1-1-1-0-1-1-0-0-0-1-0
0.2,0.4,5,5.234836871976651e-16,1.7879020248953197e-16,1,0,0-0-0-0-0-1-1-0-1-0-1
0.4,0.5,5,2.512147112578589e-16,2.220446049250313e-16,1,0,1-0-1-1-1-1-1-0-1-0-0
0.5,0.9,5,1.0000000000000002,2.220446049250313e-16,1,1,1-1-1-0-0-1-0-1-1-0-0
0.6,0.9,5,2.0568383952049543e-16,2.220446049250313e-16,1,1,0-0-0-0-1-0-0-1-1-0-1
1.0,0.0,5,8.439505361351767e-16,2.4492935982947064e-16,1,0,0-1-0-0-0-1-1-1-0-1-1
0.0,0.5,5,4.199184988391141e-16,2.6795375277751073e-16,1,0,1-0-0-1-0-0-0-1-1-0-0
0.7,0.8,5,6.603536777372052e-16,3.7470027081099033e-16,1,0,0-0-1-1-0-0-0-1-1-0-1
0.7,0.0,5,3.2039021377720217e-16,4.440892098500626e-16,1,0,0-1-0-0-0-0-0-0-1-0-1
0.2,0.5,5,3.2002469513585113e-16,4.718447854656915e-16,1,0,0-1-0-0-0-0-1-0-1-1-1
0.6,0.5,5,4.599343773757199e-16,4.996003610813204e-16,1,0,0-1-1-1-1-1-0-1-0-1-1
0.3,0.0,5,1.8627372022975617e-16,5.551115123125783e-16,1,0,0-1-1-1-1-0-1-0-1-1-1
0.9,0.2,5,6.278730036988235e-16,6.661338147750939e-16,1,0,1-1-1-1-1-0-1-0-1-1-0
0.1,0.7,5,1.0,6.938893903907228e-16,1,1,1-1-1-0-1-0-1-1-1-1-0
0.0,0.8,5,3.9376268211190846e-16,6.993653380750374e-16,1,0,1-1-0-0-0-1-1-0-1-0-0
0.7,0.3,5,7.149818163235728e-16,7.216449660063518e-16,1,0,1-1-1-1-1-0-0-1-0-1-0
0.0,1.0,5,7.087984157702056e-16,8.094233822648517e-16,1,0,0-1-1-1-0-1-1-1-0-1-1
0.1,0.2,5,1.0000000000000002,8.187894806610529e-16,1,1,0-0-0-1-0-0-0-0-1-0-1
0.4,0.1,5,6.119859785057874e-16,8.326672684688674e-16,1,0,0-1-0-0-1-0-0-1-1-1-1
1.0,0.8,5,4.159354777774563e-16,8.740307258812979e-16,1,0,0-1-0-1-1-0-0-0-0-0-1
