v,lm,delta_chi_mean,delta_chi_max,r_break_mean,r_break_max,comment
0.79,0.0,0.4931727550602863,1.2674485010489558,0.24658637753014315,0.6337242505244779,No near-exact chiral candidate found; treating Gamma as approximate.
0.8,0.0,0.4917163899415891,1.2792042981336627,0.24585819497079456,0.6396021490668313,No near-exact chiral candidate found; treating Gamma as approximate.
0.81,0.0,0.49023775792197455,1.2906957111525545,0.24511887896098727,0.6453478555762773,No near-exact chiral candidate found; treating Gamma as approximate.
0.82,0.0,0.4887366911750047,1.3018891098082388,0.24436834558750234,0.6509445549041194,No near-exact chiral candidate found; treating Gamma as approximate.
0.83,0.0,0.4872130453874595,1.312750010381209,0.24360652269372976,0.6563750051906045,No near-exact chiral candidate found; treating Gamma as approximate.
0.84,0.0,0.48566670277551816,1.3232432741736926,0.24283335138775908,0.6616216370868463,No near-exact chiral candidate found; treating Gamma as approximate.
0.85,0.0,0.4840975751362625,1.3333333333333335,0.24204878756813125,0.6666666666666667,No near-exact chiral candidate found; treating Gamma as approximate.
0.86,0.0,0.4825056068996366,1.3429844431075357,0.2412528034498183,0.6714922215537679,No near-exact chiral candidate found; treating Gamma as approximate.
0.87,0.0,0.48089077814197084,1.35216095880145,0.24044538907098542,0.676080479400725,No near-exact chiral candidate found; treating Gamma as approximate.
0.88,0.0,0.4792531075185991,1.3608276348795434,0.23962655375929956,0.6804138174397717,No near-exact chiral candidate found; treating Gamma as approximate.
0.89,0.0,0.47759265507014736,1.3689499427888263,0.23879632753507368,0.6844749713944132,No near-exact chiral candidate found; treating Gamma as approximate.
0.9,0.0,0.47590952485493543,1.3764944032233706,0.23795476242746771,0.6882472016116853,No near-exact chiral candidate found; treating Gamma as approximate.
0.91,0.0,0.4742038673587847,1.3834289277321494,0.23710193367939236,0.6917144638660747,No near-exact chiral candidate found; treating Gamma as approximate.
0.92,0.0,0.47247588163353144,1.3897231638362384,0.23623794081676572,0.6948615819181192,No near-exact chiral candidate found; treating Gamma as approximate.
0.93,0.0,0.4707258171168254,1.3953488372093024,0.2353629085584127,0.6976744186046512,No near-exact chiral candidate found; treating Gamma as approximate.
0.94,0.0,0.468953975088457,1.4002800840280099,0.2344769875442285,0.7001400420140049,No near-exact chiral candidate found; treating Gamma as approximate.
0.95,0.0,0.4671607097225165,1.4044937663535666,0.23358035486125825,0.7022468831767833,No near-exact chiral candidate found; treating Gamma as approximate.
0.96,0.0,0.4653464287001561,1.4079697633917965,0.23267321435007804,0.7039848816958982,No near-exact chiral candidate found; treating Gamma as approximate.
0.97,0.0,0.4635115933544944,1.4106912317171967,0.2317557966772472,0.7053456158585983,No near-exact chiral candidate found; treating Gamma as approximate.
0.98,0.0,0.4616567183271399,1.4126448280440334,0.23082835916356995,0.7063224140220167,No near-exact chiral candidate found; treating Gamma as approximate.
0.99,0.0,0.45978237072469835,1.4138208888788193,0.22989118536234918,0.7069104444394096,No near-exact chiral candidate found; treating Gamma as approximate.
1.0,0.0,0.4578891687732025,1.4142135623730951,0.22894458438660126,0.7071067811865476,No near-exact chiral candidate found; treating Gamma as approximate.
1.01,0.0,0.45597777997836036,1.4138208888788193,0.22798888998918018,0.7069104444394096,No near-exact chiral candidate found; treating Gamma as approximate.
1.02,0.0,0.45404891880950127,1.4126448280440334,0.22702445940475063,0.7063224140220167,No near-exact chiral candidate found; treating Gamma as approximate.
1.03,0.0,0.4521033439347791,1.4106912317171967,0.22605167196738954,0.7053456158585983,No near-exact chiral candidate found; treating Gamma as approximate.
1.04,0.0,0.4501418550442086,1.4079697633917965,0.2250709275221043,0.7039848816958982,No near-exact chiral candidate found; treating Gamma as approximate.
