point_id,group_id,dim,E_min,E_max,delta_E,best_edge_projection_after,best_corner_projection_after
v_0p60_t_0p90_lm_0p80,30,2,0.2697083318826587,0.26970833188266014,1.4432899320127035e-15,0.5588553544810174,0.12789170528577676
v_0p60_t_0p90_lm_0p80,31,2,0.28972114567343366,0.28972114567343793,4.274358644806853e-15,0.3747557181409872,0.20600445577972598
v_0p60_t_0p90_lm_0p80,32,4,0.2978594722586235,0.2984962230273913,0.0006367507687677909,0.3232293911838143,0.05073237925484325
v_0p60_t_0p90_lm_0p80,33,2,0.31601789737012664,0.31601789737012886,2.220446049250313e-15,0.38998798549266395,0.054124174117299646
v_0p60_t_0p90_lm_0p80,34,4,0.31972148993887317,0.32137540181069246,0.0016539118718192913,0.5529323244833004,0.11789905140513995
v_0p60_t_0p90_lm_0p80,35,2,0.34573928166633416,0.3457392816663352,1.0547118733938987e-15,0.41518245145937055,0.25490436616612255
v_0p60_t_0p90_lm_0p80,36,2,0.3541619624363301,0.3541619624363313,1.2212453270876722e-15,0.4091670763243554,0.06836795956387035
v_0p60_t_0p90_lm_0p80,37,2,0.37209202523298884,0.37209202523299295,4.107825191113079e-15,0.5391550237778705,0.05782562432269013
v_0p60_t_0p90_lm_0p80,38,4,0.3760372536913028,0.3784753478719139,0.0024380941806110834,0.30021165930508376,0.06422775658498232
v_0p60_t_0p90_lm_0p80,39,6,0.39204041494025094,0.3948849604192621,0.00284454547901114,0.43004382642392447,0.20193339225455803
v_0p60_t_0p90_lm_0p80,40,4,0.4171334580551093,0.42113122363484956,0.003997765579740242,0.4632859630073432,0.1701530884401216
v_0p60_t_0p90_lm_0p80,41,2,0.42634565325743506,0.42634565325744106,5.995204332975845e-15,0.5295729972758462,0.07953523200063985
v_0p60_t_0p90_lm_0p80,42,2,0.44708234206611536,0.4470823420661164,1.0547118733938987e-15,0.4560884376141083,0.19184318889637436
v_0p60_t_0p90_lm_0p80,43,6,0.45613739211814136,0.46051528343530806,0.004377891317166704,0.46352706068508576,0.10915144324534752
v_0p60_t_0p90_lm_0p80,44,4,0.46779567014700574,0.4686577609286706,0.0008620907816648815,0.37886319263636603,0.08191123701314743
v_0p60_t_0p90_lm_0p80,45,2,0.47997528119894584,0.4799752811989479,2.0539125955565396e-15,0.4488058244661913,0.08391001835444077
v_0p60_t_0p90_lm_0p80,46,4,0.49041788239276823,0.49106204818047144,0.0006441657877032103,0.4290980030411844,0.1320121351295728
v_0p60_t_0p90_lm_0p80,47,2,0.4990582849728588,0.4990582849728599,1.1102230246251565e-15,0.4469478183542777,0.15163787723299138
v_0p60_t_0p90_lm_0p80,48,4,0.520237674156439,0.5231245414494318,0.002886867292992812,0.5080033590759543,0.17571698278305772
v_0p60_t_0p90_lm_0p80,49,6,0.5311152648514161,0.5366110383936439,0.005495773542227744,0.48363900370166973,0.05074771011484871
v_0p60_t_0p90_lm_0p80,50,4,0.5433152989501743,0.5472378877294063,0.003922588779232017,0.42112655520989595,0.11954761458497448
v_0p60_t_0p90_lm_0p80,51,2,0.5547287943427933,0.5547287943428001,6.772360450213455e-15,0.3387780035831524,0.10843983308268239
v_0p60_t_0p90_lm_0p80,52,6,0.5633261206149058,0.5654909846800771,0.002164864065171246,0.4848218487862429,0.11944683765045518
v_0p60_t_0p90_lm_0p80,53,6,0.5836912283522651,0.5911342311247062,0.007443002772441143,0.45068281572376284,0.1342933864106183
v_0p60_t_0p90_lm_0p80,54,2,0.6014579290824411,0.6014579290824446,3.4416913763379853e-15,0.44262693109495577,0.11256472293241135
v_0p60_t_0p90_lm_0p80,55,16,0.6163504319014068,0.637946881897347,0.021596449995940237,0.5182911273589283,0.1659474040880061
v_0p60_t_0p80_lm_0p70,0,4,-0.5352093576866097,-0.5345054986683504,0.0007038590182593119,0.42520740245080696,0.21586243975823996
v_0p60_t_0p80_lm_0p70,1,2,-0.5260748719357742,-0.5260748719357705,3.6637359812630166e-15,0.29962934771979766,0.031447101711214974
v_0p60_t_0p80_lm_0p70,2,8,-0.50945587696408,-0.5029411438462865,0.006514733117793492,0.4978216514438561,0.16716678142502917
v_0p60_t_0p80_lm_0p70,3,2,-0.490686556812662,-0.4906865568126612,7.771561172376096e-16,0.6004705460843628,0.1959154178043202
v_0p60_t_0p80_lm_0p70,4,2,-0.48353324824128174,-0.48353324824128174,0.0,0.41954058525736093,0.13020391271090323
v_0p60_t_0p80_lm_0p70,5,2,-0.47379323695442044,-0.47379323695441583,4.6074255521944e-15,0.37168159938490253,0.023675463802967957
v_0p60_t_0p80_lm_0p70,6,4,-0.4543640483048141,-0.45040746782667285,0.003956580478141236,0.5331349121221086,0.18506509201755547
v_0p60_t_0p80_lm_0p70,7,2,-0.4451735364336899,-0.44517353643368773,2.1649348980190553e-15,0.3553472104757977,0.03061611859980357
v_0p60_t_0p80_lm_0p70,8,2,-0.437840199323636,-0.4378401993236326,3.3861802251067274e-15,0.2323230239951269,0.02141961936847002
v_0p60_t_0p80_lm_0p70,9,2,-0.4312829537182499,-0.4312829537182424,7.494005416219807e-15,0.32314977800388894,0.10353469280816278
v_0p60_t_0p80_lm_0p70,10,2,-0.4194503564922863,-0.4194503564922838,2.4980018054066022e-15,0.4204786334985415,0.03654904537002291
v_0p60_t_0p80_lm_0p70,11,2,-0.4091486853854482,-0.40914868538544213,6.050715484207103e-15,0.590349078749774,0.2520801320040796
v_0p60_t_0p80_lm_0p70,12,2,-0.3935212181574914,-0.39352121815749047,9.43689570931383e-16,0.28176742772430063,0.06132922111480454
v_0p60_t_0p80_lm_0p70,13,2,-0.3792632888701357,-0.37926328887013183,3.885780586188048e-15,0.3332267243856994,0.025959166479075604
v_0p60_t_0p80_lm_0p70,14,4,-0.36774568517479483,-0.3677266594477575,1.902572703732508e-05,0.5846170434205585,0.26077970076365675
v_0p60_t_0p80_lm_0p70,15,2,-0.35808653013045094,-0.3580865301304502,7.216449660063518e-16,0.3691805463365271,0.037714348074241955
v_0p60_t_0p80_lm_0p70,16,4,-0.32548408981267307,-0.32511203002716493,0.0003720597855081387,0.4888592973966043,0.21545750210097098
