v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,classification
0.3,10,10,372,-5.1974970006125005e-06,5.1974970006125005e-06,0.46991562522752317,0.5259011048341068,0.00418326993836953,bulk_or_mixed_state
0.3,10,10,373,-5.197497000530935e-06,5.197497000530935e-06,0.46999431656594437,0.5257437285180648,0.004261954915989844,bulk_or_mixed_state
0.3,10,10,374,-5.176520656806098e-06,5.176520656806098e-06,0.45702196404430684,0.538610146138446,0.004367889817247744,bulk_or_mixed_state
0.3,10,10,375,-5.176520656767605e-06,5.176520656767605e-06,0.4569915846912918,0.5386709023344196,0.0043375129742893774,bulk_or_mixed_state
0.3,10,10,376,-5.176520656701895e-06,5.176520656701895e-06,0.45706388457354113,0.5385263080583759,0.004409807368082478,bulk_or_mixed_state
0.3,10,10,377,-5.176520656625621e-06,5.176520656625621e-06,0.4570104218980936,0.5386332302080663,0.004356347893839687,bulk_or_mixed_state
0.3,10,10,378,-5.14611605595129e-06,5.14611605595129e-06,0.396712822378301,0.5984267693476253,0.004860408274072018,bulk_or_mixed_state
0.3,10,10,379,-5.146116055924242e-06,5.146116055924242e-06,0.39671373086545847,0.5984249467313922,0.004861322403148687,bulk_or_mixed_state
0.3,10,10,380,-5.146116055833285e-06,5.146116055833285e-06,0.396712793224651,0.5984268240740589,0.00486038270129067,bulk_or_mixed_state
0.3,10,10,381,-5.146116055817763e-06,5.146116055817763e-06,0.3967118306328189,0.5984287519598694,0.004859417407312733,bulk_or_mixed_state
0.3,10,10,382,-5.10381874649419e-06,5.10381874649419e-06,0.3949728185165144,0.6001868965922814,0.004840284891204576,edge_state
0.3,10,10,383,-5.1038187463734875e-06,5.1038187463734875e-06,0.3950754214348724,0.5999816898439019,0.004942888721225282,bulk_or_mixed_state
0.3,10,10,384,-5.103818746354466e-06,5.103818746354466e-06,0.39500684884106124,0.6001188369606536,0.004874314198284601,edge_state
0.3,10,10,385,-5.103818746250689e-06,5.103818746250689e-06,0.3949723016194885,0.6001879313998701,0.0048397669806393845,edge_state
0.3,10,10,386,-5.0480947803456844e-06,5.0480947803456844e-06,0.40665460031200706,0.5885662057232943,0.0047791939646987,bulk_or_mixed_state
0.3,10,10,387,-5.048094780159108e-06,5.048094780159108e-06,0.40676866908093906,0.5883380669699438,0.004893263949117627,bulk_or_mixed_state
0.3,10,10,388,-5.04809478002629e-06,5.04809478002629e-06,0.40659302345510706,0.5886893582861987,0.004717618258693987,bulk_or_mixed_state
0.3,10,10,389,-5.048094779922647e-06,5.048094779922647e-06,0.40660211641824995,0.5886711737936894,0.004726709788061632,bulk_or_mixed_state
0.3,10,10,390,-4.982406817732059e-06,4.982406817732059e-06,0.3079668271617184,0.6867842200517872,0.005248952786494813,edge_state
0.3,10,10,391,-4.982406817728555e-06,4.982406817728555e-06,0.30784810115936045,0.6870216727017602,0.005130226138879186,edge_state
0.3,10,10,392,-4.982406817696746e-06,4.982406817696746e-06,0.30830024957637636,0.6861173740340569,0.005582376389566617,edge_state
0.3,10,10,393,-4.982406817314331e-06,4.982406817314331e-06,0.30908580649774364,0.6845462606839225,0.006367932818334557,edge_state
0.3,10,10,394,-4.92251937165615e-06,4.92251937165615e-06,0.10938162851742891,0.8831369043883897,0.007481467094178651,edge_state
0.3,10,10,395,-4.922519371392458e-06,4.922519371392458e-06,0.10910915937295114,0.8836818422456392,0.007208998381409962,edge_state
0.3,10,10,396,-4.922519371314752e-06,4.922519371314752e-06,0.10890487138853736,0.8840904183083698,0.007004710303093653,edge_state
0.3,10,10,397,-4.922519371278456e-06,4.922519371278456e-06,0.10904096420924825,0.8838182333024938,0.007140802488258095,edge_state
0.3,10,10,398,-9.130789397923243e-11,9.130789397923243e-11,0.9838656192818489,0.016068770793948493,6.560992420309578e-05,corner_state
