v,direction,scan_param,center_index,wannier_center
0.1,x,-1.900469629949381,2,0.6726360876344879
0.1,x,-1.900469629949381,3,0.788190797738206
0.1,x,-1.8228994409718553,0,0.22844422717168922
0.1,x,-1.8228994409718553,1,0.3974718585532149
0.1,x,-1.8228994409718553,2,0.5911759728827537
0.1,x,-1.8228994409718553,3,0.7829079413923434
0.1,x,-1.7453292519943295,0,0.10915250897478841
0.1,x,-1.7453292519943295,1,0.34625977384425727
0.1,x,-1.7453292519943295,2,0.6597482832894702
0.1,x,-1.7453292519943295,3,0.8848394338914848
0.1,x,-1.6677590630168038,0,0.24200404150605023
0.1,x,-1.6677590630168038,1,0.3512925132280711
0.1,x,-1.6677590630168038,2,0.6454461330409538
0.1,x,-1.6677590630168038,3,0.7612573122249248
0.1,x,-1.590188874039278,0,0.18022094231845598
0.1,x,-1.590188874039278,1,0.35104741054880156
0.1,x,-1.590188874039278,2,0.6474033011002065
0.1,x,-1.590188874039278,3,0.8213283460325361
0.1,x,-1.5126186850617522,0,0.1226004261100934
0.1,x,-1.5126186850617522,1,0.2392771207747021
0.1,x,-1.5126186850617522,2,0.7617789480941439
0.1,x,-1.5126186850617522,3,0.8763435050210605
0.1,x,-1.4350484960842265,0,0.27899665822316205
0.1,x,-1.4350484960842265,1,0.33486117086894035
0.1,x,-1.4350484960842265,2,0.6587725605973989
0.1,x,-1.4350484960842265,3,0.727369610310499
0.1,x,-1.3574783071067007,0,0.17590493554978767
0.1,x,-1.3574783071067007,1,0.3670161757136836
0.1,x,-1.3574783071067007,2,0.6322153165546947
0.1,x,-1.3574783071067007,3,0.8248635721818345
0.1,x,-1.2799081181291752,0,0.19429367650839152
0.1,x,-1.2799081181291752,1,0.38327949934031225
0.1,x,-1.2799081181291752,2,0.6166651252830639
0.1,x,-1.2799081181291752,3,0.8057616988682325
0.1,x,-1.2023379291516494,0,0.30473305419933705
0.1,x,-1.2023379291516494,1,0.3866753301776962
0.1,x,-1.2023379291516494,2,0.6122956673164246
0.1,x,-1.2023379291516494,3,0.6962959483065417
0.1,x,-1.1247677401741236,0,0.2612671333357918
0.1,x,-1.1247677401741236,1,0.3181831220003301
0.1,x,-1.1247677401741236,2,0.6851633364715344
0.1,x,-1.1247677401741236,3,0.7353864081923434
0.1,x,-1.0471975511965979,0,0.24014959213886747
0.1,x,-1.0471975511965979,1,0.3969874105029593
0.1,x,-1.0471975511965979,2,0.603866026423528
0.1,x,-1.0471975511965979,3,0.7589969709346454
0.1,x,-0.9696273622190721,0,0.19325555034874498
0.1,x,-0.9696273622190721,1,0.2699895040755162
0.1,x,-0.9696273622190721,2,0.7287433462082586
0.1,x,-0.9696273622190721,3,0.8080115993674805
0.1,x,-0.8920571732415463,0,0.27649630046890017
0.1,x,-0.8920571732415463,1,0.3612961348691078
0.1,x,-0.8920571732415463,2,0.6300617146036416
0.1,x,-0.8920571732415463,3,0.73214585005835
0.1,x,-0.8144869842640206,0,0.26883454692845465
0.1,x,-0.8144869842640206,1,0.33616864946128366
0.1,x,-0.8144869842640206,2,0.6607054291675154
0.1,x,-0.8144869842640206,3,0.7342913744427455
0.1,x,-0.7369167952864948,0,0.19765125281543652
0.1,x,-0.7369167952864948,1,0.2769416486753995
0.1,x,-0.7369167952864948,2,0.7186111324798523
0.1,x,-0.7369167952864948,3,0.8067959660293119
0.1,x,-0.659346606308969,0,0.2227067064793515
0.1,x,-0.659346606308969,1,0.32972278173197517
0.1,x,-0.659346606308969,2,0.671567682593528
0.1,x,-0.659346606308969,3,0.7760028291951446
0.1,x,-0.5817764173314433,0,0.21515011413321547
0.1,x,-0.5817764173314433,1,0.244859591510045
0.1,x,-0.5817764173314433,2,0.7528397940345398
0.1,x,-0.5817764173314433,3,0.7871505003221996
0.1,x,-0.5042062283539175,0,0.22615223619438843
0.1,x,-0.5042062283539175,1,0.28078584448718347
0.1,x,-0.5042062283539175,2,0.7196316766135673
0.1,x,-0.5042062283539175,3,0.7734302427048602
0.1,x,-0.4266360393763917,0,0.23937784094749676
0.1,x,-0.4266360393763917,1,0.43754923035327026
0.1,x,-0.4266360393763917,2,0.5631506608022399
0.1,x,-0.4266360393763917,3,0.7599222678969936
0.1,x,-0.34906585039886595,0,0.19636039703814193
0.1,x,-0.34906585039886595,1,0.3222885420163161
0.1,x,-0.34906585039886595,2,0.6716393005508363
0.1,x,-0.34906585039886595,3,0.8097117603947057
0.1,x,-0.2714956614213402,0,0.2215724888670109
0.1,x,-0.2714956614213402,1,0.2559550144123521
0.1,x,-0.2714956614213402,2,0.7359744113047793
0.1,x,-0.2714956614213402,3,0.7864980854158576
0.1,x,-0.19392547244381442,0,0.2715953388309624
0.1,x,-0.19392547244381442,1,0.359864169032857
0.1,x,-0.19392547244381442,2,0.6339745176277581
0.1,x,-0.19392547244381442,3,0.7345659745084221
0.1,x,-0.11635528346628865,0,0.17628109949567441
