point_id,v,t,lm,w,z2,chern,wilson,ribbon_classification,has_connecting_edge_branch,has_isolated_state,band_window_width,in_window_edge_state_count,span_ratio,min_abs_energy,obc_gap,count_absE_le_0p02,special_score,special_rank,category,physical_score,rationale
v_1p00_t_0p50_lm_0p00,1.0,0.5,0.0,1.0,1,6.36737338195123e-17,-0.9617199024770835,empty_gap,0,0,-4.683117399793162e-16,0,0.0,0.00896889843201943,0.022389780194833772,6,110.59939564875452,20,transition_core_or_precursor,0.13125,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_1p00_t_0p50_lm_0p10,1.0,0.5,0.1,1.0,1,-1.4416327019495353e-16,0.6495333710308122,connecting_edge_branch,1,0,0.21980390271855615,168,0.9967058964699453,0.0015248777335072467,0.013798352432489598,6,85.80809607566157,9999,robust_edge_topology,0.666831,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_1p00_t_0p50_lm_0p20,1.0,0.5,0.2,1.0,1,-1.7713081590498925e-17,1.4049821426937201,connecting_edge_branch,1,0,0.4770329614269003,308,0.9416000078372305,0.004204101202076082,0.012461069857516084,6,54.84354225450667,9999,robust_edge_topology,0.787813,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_1p00_t_0p50_lm_0p30,1.0,0.5,0.3,1.0,0,-1.5637454690778453e-16,0.046579352970934865,connecting_edge_branch,1,0,0.5804039413421536,284,0.9815354087548053,0.0036808004934307725,0.012355009743042291,6,57.590102518443324,9999,ambiguous_need_review,0.607808,指标互相竞争，需结合波函数和更大尺寸复核
v_1p00_t_0p50_lm_0p40,1.0,0.5,0.4,1.0,1,-3.3022580018934083e-16,1.2778421701884743,connecting_edge_branch,1,0,0.694838409859664,272,0.9734095794422251,0.0035861834131895418,0.013495426272004426,6,55.75313411761296,9999,robust_edge_topology,0.818914,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_1p00_t_0p50_lm_0p50,1.0,0.5,0.5,1.0,1,1.369329814366105e-16,-1.2205433920803637,connecting_edge_branch,1,0,0.8284271247461896,276,0.9754339277651394,0.007800411982372028,0.015600823964744815,4,36.101663140174026,9999,robust_edge_topology,0.842326,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_1p10_t_0p50_lm_0p00,1.1,0.5,0.0,0.8999999999999999,1,-1.0641190700550177e-16,-1.1597182472124274,empty_gap,0,0,-1.6653345369377348e-16,0,0.0,0.0012973907073126638,0.015451360047679785,12,149.54060253008316,11,transition_core_or_precursor,0.1425,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_1p10_t_0p50_lm_0p10,1.1,0.5,0.1,0.8999999999999999,0,-5.207164973174292e-16,-0.10888365923739833,empty_gap,0,0,0.06731685043665686,0,0.0,0.0027854063154910784,0.009658110618162522,20,184.93242371743688,9,transition_core_or_precursor,0.045578,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_1p10_t_0p50_lm_0p20,1.1,0.5,0.2,0.8999999999999999,1,-1.1267469930180668e-16,1.4922504110034887,empty_gap,0,0,0.13024818488698003,0,0.0,6.0796025384889346e-05,0.0005401514737851261,42,1601.7740305364464,2,transition_core_or_precursor,0.19563,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_1p10_t_0p50_lm_0p30,1.1,0.5,0.3,0.8999999999999999,0,-2.0502229515111894e-16,-0.18135526923855047,empty_gap,0,0,0.2270277873465672,0,0.0,0.00361122865568542,0.009011120615334992,8,72.81087706675864,9999,ambiguous_need_review,0.042243,指标互相竞争，需结合波函数和更大尺寸复核
v_1p10_t_0p50_lm_0p40,1.1,0.5,0.4,0.8999999999999999,1,1.9119646169691056e-16,0.6678455954872183,connecting_edge_branch,1,0,0.34952186258659984,168,0.9683110440815569,0.0008191098663037545,0.011812573817596568,6,135.73436419814848,13,robust_edge_topology,0.684862,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_1p10_t_0p50_lm_0p50,1.1,0.5,0.5,0.8999999999999999,0,8.388285151258499e-17,-1.9414817708227918,connecting_edge_branch,1,0,0.49072480941474134,196,0.9759418939446174,0.006994229841709321,0.01398845968341876,4,41.72705562225552,9999,ambiguous_need_review,0.528014,指标互相竞争，需结合波函数和更大尺寸复核
v_1p20_t_0p50_lm_0p00,1.2,0.5,0.0,0.8,1,1.9285873312583447e-16,1.4257568058333758,empty_gap,0,0,-9.43689570931383e-16,0,0.0,0.002090636716034046,0.004687208216409654,46,240.06454777587695,8,transition_core_or_precursor,0.18,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
